event_id,time_s,lat,lon,peak_mag,peak_vertical,peak_mag_g,peak_vertical_g,peak_gyro_mag,speed_mean,event_duration,vert_jrk,level,num_peaks_accel,num_peaks_gyro,peak_interval_mean,peak_interval_std,asymmetry_score,vertical_energy,gyro_energy,accel_to_gyro_ratio,local_duration,top2_peak_ratio,duration_above_threshold,max_jerk,peak_to_peak,fft_high_low_ratio,zcr,kurtosis,skewness,gyro_pitch_energy,gyro_roll_energy,gyro_yaw_energy,gyro_pitch_roll_ratio,trip_id,suggested_label,suggested_raw_label,suggested_kind,suggestion_confidence,suggestion_rule,suggestion_reason,needs_review,speed_factor,score,priority
379,1776414104.0538332,-6.8212958,109.4795995,97.192154,-36.231997519674685,9.91084152080476,-3.6946355299388363,4.114511956293845,3.5905124666666666,0.005000114440917969,25.15602685864916,candidate,1,4,0.0,0.0,0.218016186855375,45156.7242161912,1566.9788630164903,28.8176983449829,0.1,0.0,0.005000114440917969,5825.577048190674,68.49594640864106,16.611130231369717,0.2911392405063291,0.011351090836044353,-0.16991969359190828,234.95224267578837,1096.9235517850427,235.10306855565923,0.21419199367107625,40a7a6c4-b8d9-447a-ba96-8503647f43bb,Non-Event,Normal,condition_like,0.92,R6,amplitudo rendah + tidak ada struktur event → Non-Event,False,1.0,0.4000426048206923,medium
380,1776417341.475,-6.9517283,109.4972667,88.448395,48.90290724534886,9.019226239337593,4.986708737983803,3.2297242469607603,8.837266,0.11999702453613281,43.09506242705508,normal,2,4,0.16499996185302734,0.0,0.5389823446155285,53720.89422157391,1347.5664624371238,39.86511662256165,0.16499996185302734,0.9005865780917672,0.11999702453613281,8619.226203712118,85.06407940859913,91.52781571684923,0.3350125944584383,2.078194135348059,0.5740636838026391,436.7571189855601,606.9235558716741,303.8857875798895,0.719624595289694,2403297f-866d-495e-a41b-b29966866b69,Pothole,Pothole,event,0.48,ML_Ensemble(RF)_LOW_CONF,"ML ragu-ragu (Conf: 48%), pakai tebakan terbaik ML",True,1.0,0.4954610381574443,medium
381,1776417348.7365,-6.9520717,109.4968,56.54386,32.868860360202554,5.765869078635417,3.3516909811406093,1.8345136584306887,5.712387,0.020000457763671875,35.90462481242983,normal,1,4,0.0,0.0,0.2222906585347712,49998.57261181518,1270.2473349335119,39.361289094986326,0.1,0.0,0.020000457763671875,7292.469570028673,65.30703056214841,20.973399810589818,0.3468354430379747,-0.09819128243747288,0.00754617914624832,164.0465063716356,934.4400107012398,171.7608178606365,0.17555595256775533,2403297f-866d-495e-a41b-b29966866b69,Non-Event,Non-Event,condition_like,0.6766666666666665,ML_Ensemble(RF),Dipelajari dari data (Confidence: 68%),True,1.0,0.2943026779159532,low
382,1776417372.6215,-6.9523319,109.4963529,58.815235,36.40786346092055,5.99748486996069,3.7125688650987394,3.3319342850188027,2.097562,0.03999900817871094,32.70397909547947,normal,2,3,0.6959998607635498,0.0,0.2155079405941323,35444.00028075985,825.951289658484,42.91294254471394,0.6959998607635498,0.9732360368125331,0.03999900817871094,6540.958005630914,60.982572859895036,4.549472838158912,0.32914572864321606,0.21613669352368126,0.5418528476778136,144.0437723847957,551.1761243467272,130.73139292696123,0.2613389182889269,2403297f-866d-495e-a41b-b29966866b69,Non-Event,Non-Event,condition_like,0.6853809523809524,ML_Ensemble(RF),Dipelajari dari data (Confidence: 69%),True,1.0,0.3781955996395833,medium
383,1776417376.5843334,-6.9523319,109.4963529,70.17972,33.65738154598253,7.156339830625138,3.4320977648822515,2.810362785911723,2.097562,0.0,40.00903997346704,normal,0,3,0.0,0.0,0.30199886364670264,53930.76202557112,1777.3158723060483,30.343937639656925,0.0,0.0,0.0,8002.0064087011915,66.11396557688991,24.629335869662544,0.31909547738693467,-0.474350901237671,0.08509330635854312,330.4184473755709,1236.7697941462066,210.1276307842707,0.267162449044537,2403297f-866d-495e-a41b-b29966866b69,Non-Event,Normal,condition_like,0.92,R6,amplitudo rendah + tidak ada struktur event → Non-Event,False,1.0,0.3325675583697934,medium
384,1776417381.4706001,-6.9524284,109.4960915,96.4676,-54.612939655492816,9.83695757470696,-5.568970000509126,7.246588191230495,1.9180521,0.05000114440917969,28.2242975448108,candidate,1,7,0.0,0.0,0.9026810150760604,47988.92796894379,1652.0324064681322,29.0484180286091,0.1,0.0,0.05000114440917969,8891.801159583714,77.54488107394275,3.148049578265873,0.32151898734177214,0.7800679355437543,-0.417086222907299,228.79576516507478,1286.8948666062734,136.34177469678426,0.17778901052783982,2403297f-866d-495e-a41b-b29966866b69,Non-Event,Maneuver,condition_like,0.88,R5,gyro dominan + asimetri tinggi → maneuver (Non-Event),False,1.0,0.6349573858765098,high
385,1776417387.305,-6.9524284,109.4960915,39.512753,-33.62321529220089,4.0291794853492275,-3.4286137765904656,0.8173128153436724,1.9180521,0.055001258850097656,34.99905551106745,normal,2,2,0.17300009727478027,0.0,0.035835056933072734,25708.353057414526,911.1554357107484,28.21511239643274,0.17300009727478027,0.8005891235834487,0.055001258850097656,6999.650892918762,61.4671572863714,77.3121014149191,0.3622448979591837,0.5279596082077331,-0.1429706636145305,118.9983276218113,683.6135971309616,108.54351095797556,0.17407249935805766,2403297f-866d-495e-a41b-b29966866b69,Non-Event,Non-Event,condition_like,0.6139751552795031,ML_Ensemble(RF)_LOW_CONF,"ML ragu-ragu (Conf: 61%), pakai tebakan terbaik ML",True,1.0,0.26994409481835496,low
386,1776417392.5215,-6.9530958,109.494861,80.02403,-41.82720981352735,8.160180081883212,-4.265188399048334,2.2310483616522636,7.793902,0.0,37.64480193375361,normal,0,3,0.0,0.0,0.05664504023372138,40596.63381766819,1652.934622317545,24.56033847012543,0.0,0.0,0.0,7529.147075959682,76.89042777031382,16.61502323946362,0.3148614609571788,0.551485846495936,-0.01767482116313964,357.36245887166,1012.805493572986,282.76666987289883,0.35284411546595074,2403297f-866d-495e-a41b-b29966866b69,Non-Event,Normal,condition_like,0.92,R6,amplitudo rendah + tidak ada struktur event → Non-Event,False,1.0,0.3882352346360922,medium
387,1776417453.7437499,-6.9576179,109.4926011,110.85458,-58.484097530246665,11.30402125088588,-5.9637182452974935,4.259304235674091,9.831934,0.08999776840209961,54.05205396816442,candidate,2,5,0.5690000057220459,0.0,0.37612853098775956,73428.8723710104,1608.562379268606,45.64875647455392,0.5690000057220459,0.9210097481700144,0.08999776840209961,10810.678850168704,107.32708127044049,24.148747213944745,0.3249370277078086,1.6524313376731197,-0.5977066867912953,254.11474261371194,1183.2898479383434,171.15778871655095,0.2147527445128559,2403297f-866d-495e-a41b-b29966866b69,Pothole,Pothole,event,0.4066666666666666,ML_Ensemble(RF)_LOW_CONF,"ML ragu-ragu (Conf: 41%), pakai tebakan terbaik ML",True,1.0,0.6154612825627349,high
388,1776417458.891,-6.9581412,109.4919207,62.315742,37.8252938293571,6.354437244114963,3.8571065378449423,1.613894668621918,9.912414,0.03500080108642578,41.25693039774936,normal,1,5,0.0,0.0,0.18635154027615303,45232.90750766755,974.2625159873093,46.427843336866005,0.1,0.0,0.03500080108642578,8251.197224632926,72.21734414601286,67.81885340211932,0.39949748743718594,0.3886545178406893,0.3740143232322172,216.14984932320456,584.2902881458607,173.82237851824402,0.36993572088829546,2403297f-866d-495e-a41b-b29966866b69,Non-Event,Normal,condition_like,0.92,R6,amplitudo rendah + tidak ada struktur event → Non-Event,False,1.0,0.3335611374415907,medium
389,1776417465.606,-6.9581412,109.4919207,30.302608,-29.890153448508755,3.0900060673114673,-3.047947407984251,1.3953870201385923,9.912414,0.07499814033508301,27.599500138293493,normal,2,3,0.4739999771118164,0.0,0.23486664854677658,25588.196592962497,770.2255502721116,33.22169272455425,0.4739999771118164,0.7356100964084962,0.07499814033508301,5520.036899911542,56.66768701322242,43.70680371535397,0.389873417721519,0.3667021443102203,-0.08822473505044044,134.6296893269477,547.6648059816825,87.93105496348147,0.24582497836391118,2403297f-866d-495e-a41b-b29966866b69,Non-Event,Non-Event,condition_like,0.8228571428571427,ML_Ensemble(RF),Dipelajari dari data (Confidence: 82%),False,1.0,0.25645302791500024,low
390,1776417481.8965,-6.9592493,109.4904133,83.90988,50.10955577106715,8.556426506503241,5.109752644487888,4.082600437738029,10.228854,0.04999876022338867,31.73253076975559,candidate,2,5,1.126000165939331,0.0,0.09604892052776053,43482.35948742555,895.5103302178094,48.55595515943814,1.126000165939331,0.7306159451334817,0.04999876022338867,9590.227008558215,82.02633219516102,21.546085971266994,0.37185929648241206,0.827105429254468,0.3763410173133688,240.59338160517228,491.7448663272464,163.17208228539084,0.48926465244641215,2403297f-866d-495e-a41b-b29966866b69,Non-Event,Non-Event,condition_like,0.6146666666666667,ML_Ensemble(RF)_LOW_CONF,"ML ragu-ragu (Conf: 61%), pakai tebakan terbaik ML",True,1.0,0.5297143262785984,medium
391,1776417499.848,-6.959916,109.4893256,88.34307,-42.006064484301845,9.008486078324403,-4.283426499803893,3.587903679901399,10.686746,0.11000251770019531,35.72496176948896,normal,1,3,0.0,0.0,0.12684235638855423,32210.42711378883,953.7114686054252,33.77376506451695,0.1,0.0,0.11000251770019531,7144.828821743974,73.05789175524572,106.34983614473256,0.41959798994974873,1.794219161590486,-0.017685926954799154,159.9176610464461,691.6144040146173,102.17940354436169,0.23122372797175364,2403297f-866d-495e-a41b-b29966866b69,Non-Event,Non-Event,condition_like,0.7969275362318841,ML_Ensemble(RF),Dipelajari dari data (Confidence: 80%),True,1.0,0.4433553631399117,medium
