event_id,trip_id,time_s,label,pred_label,error_type,pothole_confidence,speed_mean,vertical_energy
490,c72307ef-f384-4659-aded-5319b398f560,1776413418.29,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.102180816,6.5210156,95895.50570461352
558,2403297f-866d-495e-a41b-b29966866b69,1776417359.63,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.09419562,4.0472608,23186.461011749878
462,c72307ef-f384-4659-aded-5319b398f560,1776413043.58,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.094183676,3.2473814,28753.835167536847
484,c72307ef-f384-4659-aded-5319b398f560,1776413319.34,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.0916214,1.6511335,36379.76204831917
439,c72307ef-f384-4659-aded-5319b398f560,1776412794.16,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.090809256,10.803505,97743.88969649184
203,2ba192ad-a007-47e8-843d-e4f356c01155,1776327037.72,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.08720685,11.880818,57323.34347766446
60,cc249e1a-62c0-4274-812f-0019a041760e,1775973429.24,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.08717589,8.892408,29767.42031598416
49,178e7720-4939-4df4-b9af-2a0a7e15ece3,1775973254.53,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.08679082,9.17338,23587.92480973352
387,44eda033-50cf-4664-89ef-2aa88372c53f,1776330242.57,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.08572464,12.331162,102574.4613471594
339,3a9b8fd6-92e7-4ce1-89d1-f0025de3bc91,1776329476.93,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.08523509,3.3330586,41294.29151017539
425,c72307ef-f384-4659-aded-5319b398f560,1776412666.97,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.08316282,6.1419387,60079.66299185071
589,2403297f-866d-495e-a41b-b29966866b69,1776417687.36,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.07898266,8.694267,24952.309407753903
51,178e7720-4939-4df4-b9af-2a0a7e15ece3,1775973269.01,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.07846908,7.2416267,55290.80545393439
338,3a9b8fd6-92e7-4ce1-89d1-f0025de3bc91,1776329472.69,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.072099864,3.3330586,28699.604631128237
40,178e7720-4939-4df4-b9af-2a0a7e15ece3,1775973135.75,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.07150703,8.969035,16834.966765388257
356,3a9b8fd6-92e7-4ce1-89d1-f0025de3bc91,1776329843.08,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.06867878,9.950747,43323.84929354634
341,3a9b8fd6-92e7-4ce1-89d1-f0025de3bc91,1776329486.94,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.06616778,5.0288363,61554.86158640257
344,3a9b8fd6-92e7-4ce1-89d1-f0025de3bc91,1776329585.22,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.062864676,6.6152563,32835.850500365304
345,3a9b8fd6-92e7-4ce1-89d1-f0025de3bc91,1776329620.94,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.061713997,7.925517,39466.28839461401
474,c72307ef-f384-4659-aded-5319b398f560,1776413159.9,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.061013903,3.2513285,15846.80860661014
33,178e7720-4939-4df4-b9af-2a0a7e15ece3,1775973054.02,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.06052373,9.072494,33434.844214598495
91,cc249e1a-62c0-4274-812f-0019a041760e,1775973714.54,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.05920929,5.874274,19299.146046975377
192,2ba192ad-a007-47e8-843d-e4f356c01155,1776326853.59,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.058534425,5.0540576,20388.656872173822
337,3a9b8fd6-92e7-4ce1-89d1-f0025de3bc91,1776329462.26,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.055959687,3.6038327,25393.39577575192
602,2403297f-866d-495e-a41b-b29966866b69,1776417859.73,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.05492312,14.532254,46642.59552571985
491,c72307ef-f384-4659-aded-5319b398f560,1776413425.73,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.053063687,7.422782,33593.57742187557
587,2403297f-866d-495e-a41b-b29966866b69,1776417678.41,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.048201274,7.6007867,17048.860044547822
488,c72307ef-f384-4659-aded-5319b398f560,1776413391.5,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.040037077,9.448044,51021.95142627131
